time,longitude,latitude
2006-09-15 00:00:00,-57.05953116664427,32.235902937873256
2006-09-15 01:00:00,-57.06666234635159,32.24315281990417
2006-09-15 02:00:00,-57.073760824122346,32.250113686121026
2006-09-15 03:00:00,-57.08082439608579,32.25679244630823
2006-09-15 04:00:00,-57.087850858371155,32.2631960102502
2006-09-15 05:00:00,-57.0948380071077,32.26933128773132
2006-09-15 06:00:00,-57.10178363842466,32.275205188536
2006-09-15 07:00:00,-57.1086855484513,32.280824622448634
2006-09-15 08:00:00,-57.11554153331686,32.28619649925364
2006-09-15 09:00:00,-57.12234938915057,32.29132772873541
2006-09-15 10:00:00,-57.1291069120817,32.29622522067833
2006-09-15 11:00:00,-57.13581189823949,32.30089588486683
2006-09-15 12:00:00,-57.14246214375319,32.3053466310853
2006-09-15 13:00:00,-57.14905544475204,32.30958436911815
2006-09-15 14:00:00,-57.15558959736527,32.313616008749754
2006-09-15 15:00:00,-57.16206239772215,32.31744845976454
2006-09-15 16:00:00,-57.16847164195193,32.32108863194692
2006-09-15 17:00:00,-57.17481512618385,32.32454343508127
2006-09-15 18:00:00,-57.181090646547155,32.32781977895199
2006-09-15 19:00:00,-57.1872959991711,32.33092457334351
2006-09-15 20:00:00,-57.19342898018491,32.333864728040204
2006-09-15 21:00:00,-57.199487385717866,32.336647152826494
2006-09-15 22:00:00,-57.20546901189918,32.33927875748677
2006-09-15 23:00:00,-57.21137165485811,32.341766451805434
2006-09-16 00:00:00,-57.21719311072392,32.3441171455669
2006-09-16 01:00:00,-57.22293117562584,32.346337748555555
2006-09-16 02:00:00,-57.22858364569312,32.3484351705558
2006-09-16 03:00:00,-57.234148317055016,32.350416321352064
2006-09-16 04:00:00,-57.23962298584077,32.35228811072871
2006-09-16 05:00:00,-57.24500544817961,32.354057448470165
2006-09-16 06:00:00,-57.25029350020081,32.35573124436083
2006-09-16 07:00:00,-57.255484938033604,32.35731640818511
2006-09-16 08:00:00,-57.26057755780724,32.35881984972739
2006-09-16 09:00:00,-57.265569155650965,32.360248478772085
2006-09-16 10:00:00,-57.27045752769403,32.36160920510358
2006-09-16 11:00:00,-57.275240470065675,32.36290893850631
2006-09-16 12:00:00,-57.27991577889515,32.36415458876465
2006-09-16 13:00:00,-57.28448125031171,32.365353065663
2006-09-16 14:00:00,-57.288934680444584,32.36651127898578
2006-09-16 15:00:00,-57.29327386542304,32.36763613851738
2006-09-16 16:00:00,-57.2974966013763,32.368734554042206
2006-09-16 17:00:00,-57.30160068443364,32.36981343534466
2006-09-16 18:00:00,-57.30558391072429,32.370879692209144
2006-09-16 19:00:00,-57.30944407637749,32.37194023442005
2006-09-16 20:00:00,-57.313178977522504,32.37300197176181
2006-09-16 21:00:00,-57.316786410288564,32.374071814018784
2006-09-16 22:00:00,-57.320264170804926,32.3751566709754
2006-09-16 23:00:00,-57.32361005520084,32.37626345241607
2006-09-17 00:00:00,-57.32682185960554,32.37739906812516
2006-09-17 01:00:00,-57.32989738014828,32.378570427887105
2006-09-17 02:00:00,-57.33283441295832,32.37978444148629
2006-09-17 03:00:00,-57.33563075416488,32.38104801870712
2006-09-17 04:00:00,-57.33828511751598,32.382366929738616
2006-09-17 05:00:00,-57.34080070218977,32.383741374291276
2006-09-17 06:00:00,-57.34318207576673,32.38516985264986
2006-09-17 07:00:00,-57.34543380616173,32.38665086468378
2006-09-17 08:00:00,-57.34756046128964,32.38818291026248
2006-09-17 09:00:00,-57.349566609065356,32.3897644892554
2006-09-17 10:00:00,-57.351456817403744,32.39139410153195
2006-09-17 11:00:00,-57.35323565421968,32.39307024696158
2006-09-17 12:00:00,-57.35490768742806,32.39479142541373
2006-09-17 13:00:00,-57.356477484943746,32.3965561367578
2006-09-17 14:00:00,-57.357949614681615,32.39836288086327
2006-09-17 15:00:00,-57.35932864455656,32.40021015759953
2006-09-17 16:00:00,-57.36061914248344,32.402096466836035
2006-09-17 17:00:00,-57.36182567637715,32.40402030844221
2006-09-17 18:00:00,-57.362952814152564,32.40598018228749
2006-09-17 19:00:00,-57.36400512372456,32.407974588241316
2006-09-17 20:00:00,-57.364987173008004,32.41000202617312
2006-09-17 21:00:00,-57.365903529917794,32.41206099595231
2006-09-17 22:00:00,-57.366758762368804,32.414149997448355
2006-09-17 23:00:00,-57.367557438275895,32.416267530530654
2006-09-18 00:00:00,-57.36830412555396,32.41841209506867
2006-09-18 01:00:00,-57.36900339211788,32.42058219093181
2006-09-18 02:00:00,-57.36965980588253,32.422776317989516
2006-09-18 03:00:00,-57.37027793476278,32.424992976111234
2006-09-18 04:00:00,-57.37086234667352,32.42723066516638
2006-09-18 05:00:00,-57.371417608459026,32.429487903229386
2006-09-18 06:00:00,-57.37194824534416,32.43176391609384
2006-09-18 07:00:00,-57.37245872848865,32.434058848905536
2006-09-18 08:00:00,-57.372953525439016,32.436372908252125
2006-09-18 09:00:00,-57.37343710374172,32.43870630072125
2006-09-18 10:00:00,-57.37391393094327,32.44105923290059
2006-09-18 11:00:00,-57.374388474590134,32.443431911377786
2006-09-18 12:00:00,-57.374865202228804,32.44582454274049
2006-09-18 13:00:00,-57.37534858140577,32.44823733357635
2006-09-18 14:00:00,-57.375843079667526,32.45067049047304
2006-09-18 15:00:00,-57.37635316456055,32.45312422001819
2006-09-18 16:00:00,-57.37688330363133,32.45559872879946
2006-09-18 17:00:00,-57.377437964426356,32.45809422340451
2006-09-18 18:00:00,-57.37802161449212,32.460610910420996
2006-09-18 19:00:00,-57.3786387213751,32.46314899643656
2006-09-18 20:00:00,-57.379293752621784,32.46570868803885
